reference_id,source_type,evidence_family,included_in_primary_synthesis,doi,citation
28,primary_study,active_optical_probe,yes,10.1109/JSEN.2021.3086415,"Alzuhiri M, Farrag K, Lever E, Deng Y. An electronically stabilized multi-color multi-ring structured light sensor for gas pipelines internal surface inspection[J]. IEEE Sensors Journal, 2021, 21(17): 19416-19426. DOI: 10.1109/JSEN.2021.3086415."
29,primary_study,active_optical_probe,yes,10.1088/1361-6501/ad4bfb,"Li X, Deng C, Wu Y, et al. Accuracy improvement of a multi-ring beam structured inner surface measurement: Via novel calibration methodology and light source optimization[J]. Measurement Science and Technology, 2024, 35(9): 095002. DOI: 10.1088/1361-6501/ad4bfb."
30,primary_study,active_optical_probe,yes,10.3390/s25092843,"Li Z, Fang C, Zhang X. A full-profile measurement method for an inner wall with narrow-aperture and large-cavity parts based on line-structured light rotary scanning[J]. Sensors, 2025, 25(9): 2843. DOI: 10.3390/s25092843."
31,primary_study,active_optical_probe,yes,10.1007/s41871-021-00120-8,"Bai J, Wang Y, Wang X, et al. Three-probe error separation with chromatic confocal sensors for roundness measurement[J]. Nanomanufacturing and Metrology, 2021, 4: 247-255. DOI: 10.1007/s41871-021-00120-8."
32,primary_study,active_optical_probe,yes,10.3390/s25226863,"Liu Y, Yu D, Du H, Chen T. Measurement of form and position error of small-diameter deep holes based on collaboration between a lateral confocal displacement sensor and helical scanning[J]. Sensors, 2025, 25(22): 6863. DOI: 10.3390/s25226863."
33,primary_study,active_optical_probe,yes,10.3788/COL201109.071202,"Pfeifer T, Schmitt R, König N, Mallmann G F. Interferometric measurement of injection nozzles using ultra-small fiber-optical probes[J]. Chinese Optics Letters, 2011, 9(7): 071202. DOI: 10.3788/COL201109.071202."
34,primary_study,active_optical_probe,yes,10.4028/www.scientific.net/KEM.523-524.871,"Matsui K, Matsumoto H, Takahashi S, Takamasu K. New non-contact measurement of small inside-diameter using tandem low-coherence interferometer and optical fiber devices[J]. Key Engineering Materials, 2012, 523-524: 871-876. DOI: 10.4028/www.scientific.net/KEM.523-524.871."
35,primary_study,active_optical_probe,yes,10.1109/JSEN.2019.2960939,"Jackson W E, Dobie G, MacLeod C, et al. Error analysis and calibration for a novel pipe profiling tool[J]. IEEE Sensors Journal, 2020, 20(7): 3545-3555. DOI: 10.1109/JSEN.2019.2960939."
36,metrology_guide_or_standard,review_method_or_standard,no,10.59161/JCGM100-2008E,JCGM. Evaluation of measurement data—Guide to the expression of uncertainty in measurement: JCGM 100:2008[S]. 2008. DOI: 10.59161/JCGM100-2008E.
37,metrology_guide_or_standard,review_method_or_standard,no,10.59161/JCGM101-2008,JCGM. Evaluation of measurement data—Supplement 1 to the GUM—Propagation of distributions using a Monte Carlo method: JCGM 101:2008[S]. 2008. DOI: 10.59161/JCGM101-2008.
38,primary_study,industrial_application,yes,10.3390/s22145191,"Middendorf P, Blümel R, Hinz L, et al. Pose estimation and damage characterization of turbine blades during inspection cycles and component-protective disassembly processes[J]. Sensors, 2022, 22(14): 5191. DOI: 10.3390/s22145191."
39,primary_study,industrial_application,yes,10.3390/s16111897,"García I, Zubia J, Durana G, et al. Tip-clearance measurement in the first stage of the compressor of an aircraft engine[J]. Sensors, 2016, 16(11): 1897. DOI: 10.3390/s16111897."
40,metrology_guide_or_standard,review_method_or_standard,no,,"ISO. ISO 10360-5:2020 Geometrical product specifications (GPS)—Acceptance and reverification tests for coordinate measuring systems (CMS)—Part 5: CMMs using single and multiple stylus contacting probing systems[S]. Geneva: ISO, 2020."
41,metrology_guide_or_standard,review_method_or_standard,no,,"ISO. ISO 10360-13:2021 Geometrical product specifications (GPS)—Acceptance and reverification tests for coordinate measuring systems (CMS)—Part 13: Optical 3D CMS[S]. Geneva: ISO, 2021."
42,metrology_guide_or_standard,review_method_or_standard,no,,"ISO. ISO 15530-3:2011 Geometrical product specifications (GPS)—Coordinate measuring machines (CMM): Technique for determining the uncertainty of measurement—Part 3: Use of calibrated workpieces or measurement standards[S]. Geneva: ISO, 2011."
43,review_method,review_method_or_standard,no,10.1136/bmj.n71,"Page M J, McKenzie J E, Bossuyt P M, et al. The PRISMA 2020 statement: An updated guideline for reporting systematic reviews[J]. BMJ, 2021, 372: n71. DOI: 10.1136/bmj.n71."
44,review_method,review_method_or_standard,no,10.1186/s13643-020-01542-z,"Rethlefsen M L, Kirtley S, Waffenschmidt S, et al. PRISMA-S: An extension to the PRISMA statement for reporting literature searches in systematic reviews[J]. Systematic Reviews, 2021, 10: 39. DOI: 10.1186/s13643-020-01542-z."
45,review_method,review_method_or_standard,no,10.1136/bmj.l6890,"Campbell M, McKenzie J E, Sowden A, et al. Synthesis without meta-analysis (SWiM) in systematic reviews: Reporting guideline[J]. BMJ, 2020, 368: l6890. DOI: 10.1136/bmj.l6890."
46,review_method,review_method_or_standard,no,10.1109/ACCESS.2022.3148206,"Castillo A, Grbović P J. The APISSER methodology for systematic literature reviews in engineering[J]. IEEE Access, 2022, 10: 23700-23707. DOI: 10.1109/ACCESS.2022.3148206."
47,metrology_guide_or_standard,review_method_or_standard,no,10.59161/JCGM200-2012,JCGM. International vocabulary of metrology—Basic and general concepts and associated terms (VIM): JCGM 200:2012[S]. 3rd ed. 2012. DOI: 10.59161/JCGM200-2012.
48,metrology_guide_or_standard,review_method_or_standard,no,,"ISO. ISO 5725-1:2023 Accuracy (trueness and precision) of measurement methods and results—Part 1: General principles and definitions[S]. Geneva: ISO, 2023."
49,primary_study,tactile_probe,yes,10.1016/S0141-6359(96)00040-2,"Estler W T, Phillips S D, Borchardt B R, et al. Error compensation for CMM touch trigger probes[J]. Precision Engineering, 1996, 19(2-3): 85-97. DOI: 10.1016/S0141-6359(96)00040-2."
50,primary_study,tactile_probe,yes,10.1115/1.2830156,"Shen Y L, Springer M E. A robust pretravel model for touch trigger probes in coordinate metrology[J]. Journal of Manufacturing Science and Engineering, 1998, 120(3): 532-539. DOI: 10.1115/1.2830156."
51,primary_study,tactile_probe,yes,10.1016/S0007-8506(07)62516-5,"Masuzawa T, Hamasaki Y, Fujino M. Vibroscanning method for nondestructive measurement of small holes[J]. CIRP Annals, 1993, 42(1): 589-592. DOI: 10.1016/S0007-8506(07)62516-5."
52,primary_study,tactile_probe,yes,10.1016/S0007-8506(07)60860-9,"Masuzawa T, Kim B, Bergaud C, Fujino M. Twin-probe vibroscanning method for dimensional measurement of microholes[J]. CIRP Annals, 1997, 46(1): 437-440. DOI: 10.1016/S0007-8506(07)60860-9."
